Q,A,label,Original_A
남자들 진심으로 좋아하는데도 이렇게 행동할 수 있나요?,어떤 행동이냐에 따라 달라져요.,2,어떤 행동이냐에 따라 달라져요.
남자들은 관심 없으면 보통 연락 먼저 안해?,보통 그렇죠.,2,보통 그렇죠.
남자들은 몇 년씩 혼자 짝사랑 할 수도 있어?,계속 엄청 좋아하는 게 아니라 좋아했는데 시간이 흐른 거죠.,2,계속 엄청 좋아하는 게 아니라 좋아했는데 시간이 흐른 거죠.
남자들은 여자가 본인 좋아하는거 눈치 못 채나?,다 알고 있을 거예요.,2,다 알고 있을 거예요.
남자들은 여자가 자기 좋아하는 거 알게 되면 어떻게 해? 싫지 않다면 받아줘?,그분도 좋아한다면 받아줄 거예요.,2,그분도 좋아한다면 받아줄 거예요.
남자들은 이쁜 여자만 좋아할까요?,사람 취향 차이입니다.,2,사람 취향 차이입니다.
남자들은 좋아하는 사람한테만 잘해주고 그래요?,사람 마다 다르겠지만 좋아하는 사람한테 더 잘할 거예요.,2,사람 마다 다르겠지만 좋아하는 사람한테 더 잘할 거예요.
남자들은 좋아하는 여자가 자기보다 능력이 좋은 경우에 아무리 좋아해도 마음 접고 포기하나요?,절대 능력만 중요하지 않아요.,2,절대 능력만 중요하지 않아요.
남자들은 좋아하는 여자한테 이럴 수 있어?,어떤 행동이냐에 따라 다르겠지요.,2,어떤 행동이냐에 따라 다르겠지요.
남자들은 좋아하면 무조건 답장이 빠른가요?,답할 수 있는 상황이면 빠르죠.,2,답할 수 있는 상황이면 빠르죠.
남자들이 싫어하는 여자들 특징은 뭘까요.,솔직하지 않을 때를 고를 수도 있겠어요.,2,솔직하지 않을 때를 고를 수도 있겠어요.
남자들이 좋아하는 여자들 특징은 뭐야?,사람마다 너무 다를 것 같아요.,2,사람마다 너무 다를 것 같아요.
남자랑 단둘이 술마시는 여자친구를 이해해줘야할까?,이해하기 어려울 거 같아요.,2,이해하기 어려울 거 같아요.
남자에게 첫사랑이란?,처음한 사랑,2,처음한 사랑
남자친구 만나고 왔어,즐거운 데이트였길 바랍니다.,2,즐거운 데이트였길 바랍니다.
남자친구 만들고 싶어,남자친구가 있을 만한 곳으로 가보세요.,2,남자친구가 있을 만한 곳으로 가보세요.
남자친구 말고 다른 남자도 궁금해.,후회 안 할 자신 있나요.,2,후회 안 할 자신 있나요.
남자친구 부모님 만났는데 진짜 좋았어,좋은 분끼리 만났나봐요.,2,좋은 분끼리 만났나봐요.
남자친구 소개시키는 자리 내가 더 떨려,남자친구는 더 떨고 있을 거예요.,2,남자친구는 더 떨고 있을 거예요.
남자친구 스타일이 마음에 안들어.,선물해주면서 조금씩 변화시켜봐요.,2,선물해주면서 조금씩 변화시켜봐요.
남자친구 영장 나왔대,갑작스럽겠네요.,2,갑작스럽겠네요.
남자친구 오지랖 너무 많아,좋은 오지랖이었으면 좋겠네요.,2,좋은 오지랖이었으면 좋겠네요.
남자친구 이성친구가 많아,사귈 때는 덜 만나라고 말해봐요.,2,사귈 때는 덜 만나라고 말해봐요.
남자친구 자취 선물로 뭐가 좋을까?,직접 물어보는 게 편할 거 같아요.,2,직접 물어보는 게 편할 거 같아요.
남자친구 카톡 말투가 마음에 안 들어.,마음에 안 드는 부분을 직접 말해보세요.,2,마음에 안 드는 부분을 직접 말해보세요.
남자친구 코 완전 높아,멋진 사람이랑 사귀어서 좋겠네요.,2,멋진 사람이랑 사귀어서 좋겠네요.
남자친구 폰 봐도 되나,궁금하다고 보고 싶다고 먼저 말해보는 게 좋을 거 같아요.,2,궁금하다고 보고 싶다고 먼저 말해보는 게 좋을 거 같아요.
남자친구가 sns에 나 안 올려.,개인 성향 차이인 것 같아요.,2,개인 성향 차이인 것 같아요.
남자친구가 갑자기 군대간대,갑작스럽겠네요.,2,갑작스럽겠네요.
남자친구가 게임을 너무하는게 고민이야.,같이 게임을 해보세요.,2,같이 게임을 해보세요.
남자친구가 기념일을 잘 잊어.,특별한 알람을 맞춰주세요.,2,특별한 알람을 맞춰주세요.
남자친구가 나 사랑할까?,사랑하니까 만나겠죠.,2,사랑하니까 만나겠죠.
남자친구가 나를 너무 애 취급하는거 같음.,당신이 너무 귀여운가봐요.,2,당신이 너무 귀여운가봐요.
남자친구가 나를 더 좋아하게 할 수 있는 방법,당신이 더 사랑을 표현해보세요.,2,당신이 더 사랑을 표현해보세요.
남자친구가 나를 떠날까봐 고민이야.,괜한 걱정하지 마요.,2,괜한 걱정하지 마요.
남자친구가 나쁜 의도는 아닌데 표현이 너무 서툴러.,더 좋은 표현들로 천천히 고쳐나가봐요.,2,더 좋은 표현들로 천천히 고쳐나가봐요.
남자친구가 나한테 너무 집착해,믿음을 주세요.,2,믿음을 주세요.
남자친구가 날 예뻐해주는 게 느껴져,달달함이 여기까지 느껴져요.,2,달달함이 여기까지 느껴져요.
남자친구가 내 편을 안 들어 주고 조언만 해줘,아예 처음에 말할 때부터 조언이 아니라 귀 기울여주고 맞장구쳐 달라고 해보세요.,2,아예 처음에 말할 때부터 조언이 아니라 귀 기울여주고 맞장구쳐 달라고 해보세요.
남자친구가 너무 객관적이야.,좀 더 내 편이 되어달라고 해보세요.,2,좀 더 내 편이 되어달라고 해보세요.
남자친구가 너무 국밥류만 좋아해.,다양하게 먹자고 해보세요.,2,다양하게 먹자고 해보세요.
남자친구가 너무 귀찮아해.,사랑이 식은 건 아닌지 확인해보세요.,2,사랑이 식은 건 아닌지 확인해보세요.
남자친구가 너무 똑똑해,똑똑한 남자친구를 둬서 좋겠네요.,2,똑똑한 남자친구를 둬서 좋겠네요.
남자친구가 너무 바쁘다면 헤어지는게 맞는걸까?,외로운 상태인가봐요.,2,외로운 상태인가봐요.
남자친구가 너무 소심해,직설적으로 통보하는 말보다는 조금 더 부드럽게 권유하고 물어보는 말을 해보세요.,2,직설적으로 통보하는 말보다는 조금 더 부드럽게 권유하고 물어보는 말을 해보세요.
남자친구가 너무 잘해줘,서로 더 많이 아껴주세요.,2,서로 더 많이 아껴주세요.
남자친구가 너무 조급해.,좀 더 여유를 가질 수 있게 응원해주세요.,2,좀 더 여유를 가질 수 있게 응원해주세요.
남자친구가 너무 좋아,꿀 떨어지는 소리가 여기까지 들리내요.,2,꿀 떨어지는 소리가 여기까지 들리내요.
남자친구가 누나가 두명이라 그래서 결혼 걱정돼,결혼은 현실이에요.,2,결혼은 현실이에요.
남자친구가 다른 여자들에게 인기가 많아.,인기 많은 남자친구가 있어 든든할 거 같아요.,2,인기 많은 남자친구가 있어 든든할 거 같아요.
담배피는게 싫어.,금연 클리닉에 함께 가보세요.,2,금연 클리닉에 함께 가보세요.
남자친구가 데려다 준대,매너 있네요.,2,매너 있네요.
남자친구가 데이트 통장을 제안하는데 어떻게 생각해?,합리적인 소비가 가능할 거 같아요.,2,합리적인 소비가 가능할 거 같아요.
남자친구가 돈이 너무 없어.,정말 현실적인 문제네요.,2,정말 현실적인 문제네요.
남자친구가 되어줘.,네 많은 이야기를 나눠봐요.,2,네 많은 이야기를 나눠봐요.
남자친구가 마중 나온대,매너 있네요.,2,매너 있네요.
남자친구가 많이 먹어서 무한리필만 가,다른 데이트를 제안해보세요.,2,다른 데이트를 제안해보세요.
남자친구가 말을 예쁘게 해,말도 예쁘게 하는 사람이네요.,2,말도 예쁘게 하는 사람이네요.
남자친구가 먹을 거에 집착해,사람은 모두 집착하는 포인트가 달라요.,2,사람은 모두 집착하는 포인트가 달라요.
남자친구가 뭔가 수상한데 말을 안해,말할 때까지 조금 기다려주세요.,2,말할 때까지 조금 기다려주세요.
남자친구가 변해가는거 같아.,변하는 걸 보는 게 힘들겠어요.,2,변하는 걸 보는 게 힘들겠어요.
남자친구가 비꽈,성격이 꼬였는지 말투가 꼬였는지 살펴보세요.,2,성격이 꼬였는지 말투가 꼬였는지 살펴보세요.
남자친구가 비혼주의래,고민이 많이 되겠네요.,2,고민이 많이 되겠네요.
남자친구가 사랑스럽게 쳐다봄!,말하지 않아도 눈빛은 수많은 말들을 담고 있죠.,2,말하지 않아도 눈빛은 수많은 말들을 담고 있죠.
남자친구가 살이 너무 쪘어,같이 식단조절을 해봐요.,2,같이 식단조절을 해봐요.
남자친구가 센 척해,귀엽게 봐주세요.,2,귀엽게 봐주세요.
남자친구가 술만 마시면 연락이 안돼.,연락 안되면 걱정된다고 꼭 중간중간 연락 달라고 해보세요.,2,연락 안되면 걱정된다고 꼭 중간중간 연락 달라고 해보세요.
남자친구가 술먹으면 개가 돼,주사는 답이 없어요.,2,주사는 답이 없어요.
남자친구가 술자리를 너무 좋아해.,함께 즐겨보세요.,2,함께 즐겨보세요.
남자친구가 술주정 부려,포기하거나 이해하거나 둘 중 하나예요.,2,포기하거나 이해하거나 둘 중 하나예요.
남자친구가 을 너무 좋아해,원치 않으면 싫다고 말하세요.,2,원치 않으면 싫다고 말하세요.
남자친구가 연락 안 하고 외박했어,당신이 생각하는 그런일은 없을거예요.,2,당신이 생각하는 그런일은 없을거예요.
남자친구가 연락이 너무 늦어.,바쁜 걸 이해해보세요.,2,바쁜 걸 이해해보세요.
남자친구가 연락이 없어,먼저 연락을 해보세요.,2,먼저 연락을 해보세요.
남자친구가 연애하는데 가끔씩 막말을 해.,막말은 진짜 아니네요.,2,막말은 진짜 아니네요.
남자친구가 외아들 홀시어머니라 결혼 고민이야,결혼은 현실이에요.,2,결혼은 현실이에요.
남자친구가 유학 간대,기다릴 수 있을지 자신에게 물어보세요.,2,기다릴 수 있을지 자신에게 물어보세요.
남자친구가 있는데 다른 사람을 좋아하는 것 같애.,마음이 어디를 향하고 있는지 제대로 살펴보세요.,2,마음이 어디를 향하고 있는지 제대로 살펴보세요.
남자친구가 자존심이 너무 쎄,사랑한다면 자존심을 굽힐 줄도 알아야 겠죠.,2,사랑한다면 자존심을 굽힐 줄도 알아야 겠죠.
남자친구가 작은 일을 다 잊어버려,작은 일은 사소한 걸로 생각해버려서 금방 잊어버리나 봅니다. 중요한 일이라는 것을 인지시켜주세요.,2,작은 일은 사소한 걸로 생각해버려서 금방 잊어버리나 봅니다. 중요한 일이라는 것을 인지시켜주세요.
남자친구가 잘못을 해도 다 공감해주는게 옳은걸까?,공감을 해주면서 잘못을 고치도록 유도해보세요.,2,공감을 해주면서 잘못을 고치도록 유도해보세요.
남자친구가 잘생겨서 인기가 거의 아이돌급이야,멋진 사람이랑 사귀어서 좋겠네요.,2,멋진 사람이랑 사귀어서 좋겠네요.
남자친구가 적극적이지가 않아.,적극적으로 리드해보세요.,2,적극적으로 리드해보세요.
남자친구가 전역하더니 변한 거 같아,상황이 생각을 바뀌게 하기도 합니다.,2,상황이 생각을 바뀌게 하기도 합니다.
남자친구가 좋은데 눈치가 없어.,눈치는 선천적인 거예요.,2,눈치는 선천적인 거예요.
남자친구가 좋은데 신뢰가 안 생겨.,시간이 좀 더 필요할 것 같아요.,2,시간이 좀 더 필요할 것 같아요.
남자친구가 준 생일선물이 너무 맘에 안 들어.,안 준 것보다 낫죠.,2,안 준 것보다 낫죠.
남자친구가 진짜 잘 챙겨줘,당신도 잘 챙겨주세요.,2,당신도 잘 챙겨주세요.
남자친구가 질투를 안해,보살인가봅니다.,2,보살인가봅니다.
남자친구가 질투하는 거 귀여워,은근 기분이 좋죠.,2,은근 기분이 좋죠.
남자친구가 집안일을 너무 안해. 나만 하는게 고민이야.,집안일을 하나씩 분담해보세요.,2,집안일을 하나씩 분담해보세요.
남자친구가 집청소를 너무 안해.,같이 안해보세요.,2,같이 안해보세요.
남자친구가 짠돌이라서 돈 쓸 때 엄청 아까워해,성향이 다른가봅니다.,2,성향이 다른가봅니다.
남자친구가 첫사랑이야,마지막 사랑이 되길 바랍니다.,2,마지막 사랑이 되길 바랍니다.
남자친구가 충고만 해서 상처받아,아예 처음에 말할 때부터 조언이 아니라 귀 기울여주고 맞장구쳐 달라고 해보세요.,2,아예 처음에 말할 때부터 조언이 아니라 귀 기울여주고 맞장구쳐 달라고 해보세요.
남자친구가 친구들이랑 여행을 가는데 여자도 있으면 어떡해?,같이 갈 수 있으면 같이 가요.,2,같이 갈 수 있으면 같이 가요.
남자친구가 카톡 답장이 너무 느려.,자주 보라고 말해보세요.,2,자주 보라고 말해보세요.
남자친구가 클럽을 간다면 어떻게해?,같이 가보세요.,2,같이 가보세요.
남자친구가 키가 좀 작아,키가 중요한 게 아니잖아요.,2,키가 중요한 게 아니잖아요.
남자친구가 표현을 하게하고싶은데 방법을 잘 모르겠어.,작은 표현에 감동받았다고 해봐요.,2,작은 표현에 감동받았다고 해봐요.
남자친구가 표현이 너무 없어. 너무 무뚝뚝해.,표현 안 하면 하나도 모르겠다고 해보세요.,2,표현 안 하면 하나도 모르겠다고 해보세요.
남자친구가 힘들어 해,진심으로 격려하고 함께 있어 주세요.,2,진심으로 격려하고 함께 있어 주세요.
남자친구랑 너무 좋은데 점 본거에서는 만나지말라해.,점보다 앞에 있는 사람을 믿어보세요.,2,점보다 앞에 있는 사람을 믿어보세요.
남자친구랑 말이 안 통해,답답하겠네요.,2,답답하겠네요.
남자친구랑 말이 안 통해,서로 공통 관심사를 찾아보세요.,2,서로 공통 관심사를 찾아보세요.
남자친구랑 멀리 떨어져야할 거 같은데 어쩌지?,멀리 떨어진다고 큰일 나는 건 아닌 것 같기도 해요.,2,멀리 떨어진다고 큰일 나는 건 아닌 것 같기도 해요.
남자친구랑 스킨십하고 싶어,대화를 하면서 속도를 맞춰보세요.,2,대화를 하면서 속도를 맞춰보세요.
남자친구랑 왜 맨날 싸울까?,"따로 살아온 삶과 습관, 성향이 다르기 때문일 거예요.",2,"따로 살아온 삶과 습관, 성향이 다르기 때문일 거예요."
남자친구랑 카페가면 무슨 얘기하지?,못 만났을 때 있었던 이야기를 하죠.,2,못 만났을 때 있었던 이야기를 하죠.
남자친구를 믿는데 가끔 의심이 가.,믿음이 흔들리고 있네요.,2,믿음이 흔들리고 있네요.
남자친구를 질리게하는 행동들이 뭐가 있어?,구속과 집착이겠죠.,2,구속과 집착이겠죠.
남자친구앨범속에 지우지못한 전 여자친구 사진 이해해야할까?,까먹고 안 지웠을 수도 있어요.,2,까먹고 안 지웠을 수도 있어요.
남자친구에게 고민이나 속사정을 어디까지 얘기해?,믿음의 정도에 따라 다른 거 같아요.,2,믿음의 정도에 따라 다른 거 같아요.
남자친구에게 시계 선물해주고싶은데 어느 브랜드가 좋을까?,나이대에 따라 추천 브랜드가 다를 거 같아요.,2,나이대에 따라 추천 브랜드가 다를 거 같아요.
남자친구에게 적극적으로 표현할까 아니면 도도하게 하는게 좋을까?,왔다갔다 밀당해보세요.,2,왔다갔다 밀당해보세요.
남자친구에게 힘들때 어떻게해?,의지하는 편이에요.,2,의지하는 편이에요.
남자친구와 동거 해도되는걸까?,사랑한다면 선택할 수 있겠죠.,2,사랑한다면 선택할 수 있겠죠.
남자친구와 방구 언제 텄는지?,생리현상은 늦게 트는 게 좋죠.,2,생리현상은 늦게 트는 게 좋죠.
남자친구와 여사친이 너무 친해,사귀면 좀 덜 만나는 게 예의일 텐데요.,2,사귀면 좀 덜 만나는 게 예의일 텐데요.
남자친구와 여행 어디로 가?,안 가본 가까운 곳이 좋겠죠.,2,안 가본 가까운 곳이 좋겠죠.
남자친구와 진도가 보통 어때?,사람마다 다르겠죠.,2,사람마다 다르겠죠.
남자친구와 첫키스는 언제했어?,뭐 이런 걸 물어보시나요.,2,뭐 이런 걸 물어보시나요.
남자친구와 카페가면 뭐해?,수다떨고 영화보고 책보기 등등 다양하게 할 수 있어요.,2,수다떨고 영화보고 책보기 등등 다양하게 할 수 있어요.
남자친구와 호칭을 뭘 쓰는지.,딱 생각나는 걸로 하세요.,2,딱 생각나는 걸로 하세요.
남자친구의 감정기복이 너무 심해.,피해를 줄 때는 피하세요.,2,피해를 줄 때는 피하세요.
남자친구의 과거 어디까지 이해해?,아예 알려고 하지 않는 게 편한 거 같아요.,2,아예 알려고 하지 않는 게 편한 거 같아요.
남자친구의 과거의 동거를 이해해줄 수 있어?,이해하기 어려울 거 같아요.,2,이해하기 어려울 거 같아요.
남자친구의 성적 취향을 이해못하겠어.,대화를 해보세요.,2,대화를 해보세요.
남자친구의 스킨쉽이 너무 부담돼.,좀 더 편하게 생각해보세요.,2,좀 더 편하게 생각해보세요.
남자친구의 유머코드가 너무 안 맞아.,맞는 사람을 만나 보세요.,2,맞는 사람을 만나 보세요.
남자친구의 입냄새가 고민이야.,가글 사줘요.,2,가글 사줘요.
남자친구의 전여자친구가 너무 이뻐서 비교돼.,전여자친구 생각하지 마세요.,2,전여자친구 생각하지 마세요.
남자친구의 틀리는 맞춤법이 거슬려.,지적하지 말고 맞는 걸로 계속 이야기해주세요.,2,지적하지 말고 맞는 걸로 계속 이야기해주세요.
남자친구의 학력이 너무 높아서 내가 부족해 보임,주눅들지 마세요.,2,주눅들지 마세요.
남자친구의 혼전순결이 고민이야.,결혼합시다.,2,결혼합시다.
남자친구하고 커플티를 하고싶은데 어디거를 할까?,좋아하는 브랜드가 좋겠어요.,2,좋아하는 브랜드가 좋겠어요.
남자친구한테 서운해,수천번 생각해도 이건 아니라고 생각이 되면 서운하다고 이야기하세요.,2,수천번 생각해도 이건 아니라고 생각이 되면 서운하다고 이야기하세요.
남자친구한테 아무리 말해도 자기 말만해,대화를 할 수 없겠네요. 부드럽게 요구해보세요.,2,대화를 할 수 없겠네요. 부드럽게 요구해보세요.
남자친구한테 안 설레,큰일이네요.,2,큰일이네요.
남자친구한테 정 떨어진 거 같아,사랑하는 이유를 생각해보세요.,2,사랑하는 이유를 생각해보세요.
남자친구한테 핸드폰 공개해?,공개해요.,2,공개해요.
남자한테 언제 설레?,그런 경우가 많겠지만 흘리는 말을 한 걸 안 잊고 기억해줄 때요.,2,그런 경우가 많겠지만 흘리는 말을 한 걸 안 잊고 기억해줄 때요.
남잔데 남자 좋아해,성적자기결정권이있죠.,2,성적자기결정권이있죠.
남잔데 남자를 사랑하는 거 같아,사랑하는 방법은 다양하다고 생각해요.,2,사랑하는 방법은 다양하다고 생각해요.
남친 멀어진 것 같아,나를 사랑하지 않는 사람하고 계속 가는 건 나 자신을 사랑하지 않는 사람들이나 하는 일이에요.,2,나를 사랑하지 않는 사람하고 계속 가는 건 나 자신을 사랑하지 않는 사람들이나 하는 일이에요.
남친 생겼는데 호칭 어떻게 해?,딱 보면 떠오르는 걸로 해보세요.,2,딱 보면 떠오르는 걸로 해보세요.
남친 연상인데 오빠라고 불러야 해?,호칭은 마음대로 골라보세요.,2,호칭은 마음대로 골라보세요.
남친 요구가 점점 심해지는 듯,모두 맞춰줄 필요는 없어요.,2,모두 맞춰줄 필요는 없어요.
남친 있는 짝녀가 친절한데 무슨 의미일까요?,직접 의중을 확인하는 것도 방법이에요.,2,직접 의중을 확인하는 것도 방법이에요.
남친 있는데 다른 사람이 자꾸 눈에 들어와.,상대방을 헷갈리게 하는건 좋지 않아요.,2,상대방을 헷갈리게 하는건 좋지 않아요.
남친 투정이 심해,대화를 통해 적절한 합의점을 찾아보세요.,2,대화를 통해 적절한 합의점을 찾아보세요.
남친과 살아온 환경이 너무 달라,서로 인정하고 배려해주세요.,2,서로 인정하고 배려해주세요.
남친에 대한 불신이 자꾸 들어,믿지 못할 행동을 많이 했나봐요.,2,믿지 못할 행동을 많이 했나봐요.
남친이 나를 안 좋아하는 것 같은데 내가 붙잡고 있는 것 같아.,충분한 대화가 필요하겠어요.,2,충분한 대화가 필요하겠어요.
남친이 나를 좋아하는게 맞겠지?,그렇게 생각하는게 도움이 될 때가 있지요.,2,그렇게 생각하는게 도움이 될 때가 있지요.
남친이 나보다 눈물이 더 많아,감수성이 풍부한 사람이군요.,2,감수성이 풍부한 사람이군요.
남친이 내 사진 프사로 안해.,각자의 프라이버시니까 이해해주세요.,2,각자의 프라이버시니까 이해해주세요.
남친이 내 친구랑 연락하는 것 같애,슬쩍 떠서 확인해봐요.,2,슬쩍 떠서 확인해봐요.
남친이 데이트 시간을 자꾸 늦어.,잠이 많은 남자친구를 이해해주세요.,2,잠이 많은 남자친구를 이해해주세요.
남친이 사진 잘 찍었으면,계속 알려주세요.,2,계속 알려주세요.
남친이 안 좋은 사이트를 하는거같아.,빠질까봐 걱정된다고 말해보세요.,2,빠질까봐 걱정된다고 말해보세요.
남친이 워커홀릭이야,일에 질투가 나겠어요.,2,일에 질투가 나겠어요.
남친이랑 대화가 잘 돼서 좋아,말 통하는 게 중요하죠.,2,말 통하는 게 중요하죠.
남친이랑 뭐하고 놀지,얼굴 보고만 있어도 좋죠.,2,얼굴 보고만 있어도 좋죠.
남편복 있다는 의미가 뭐야?,남편 때문에 행복하다는 거 같아요.,2,남편 때문에 행복하다는 거 같아요.
남편은 진짜 남의 편인가?,당신 편으로 만들어보세요.,2,당신 편으로 만들어보세요.
남편을 자꾸 무시하게 돼,타인과 비교하지 말고 장점을 찾아 칭찬해주세요.,2,타인과 비교하지 말고 장점을 찾아 칭찬해주세요.
남편이 게이였어,엄청 놀랐겠네요.,2,엄청 놀랐겠네요.
남편이 나를 사랑한대,연애하는 느낌이네요.,2,연애하는 느낌이네요.
남편이 날 사랑하지 않는 것 같아. 이혼해야할까?,현실적으로 생각해보세요.,2,현실적으로 생각해보세요.
남편이 날 진심으로 사랑하는 걸까?,남편을 의심하지 마세요.,2,남편을 의심하지 마세요.
남편이 내 의견 무시해,무시당하는 기분이 들어서 너무 외롭고 상처받게 된다고 차분하고 부드럽게 말해보세요.,2,무시당하는 기분이 들어서 너무 외롭고 상처받게 된다고 차분하고 부드럽게 말해보세요.
남편이 자꾸 만져,같이 만져요.,2,같이 만져요.
남편이 자꾸 만져,질 수 없죠.,2,질 수 없죠.
남편이 축가 불러준대,로맨틱한 남편이네요.,2,로맨틱한 남편이네요.
남편이 츤데레 스타일이야,귀엽겠네요.,2,귀엽겠네요.
남편이 효자인 거 같아,좋게 생각해보세요.,2,좋게 생각해보세요.
남편한테 만족해?,그 중에 낫다 생각하고 사는 거죠.,2,그 중에 낫다 생각하고 사는 거죠.
남편한테 서운한거 얘기해도 될까?,수천번 생각해도 이건 아니라고 생각이 되면 서운하다고 이야기하세요.,2,수천번 생각해도 이건 아니라고 생각이 되면 서운하다고 이야기하세요.
내 가치관이랑 다른 가치관을 가지고 있는 그 남자를 좋아하는게 힘들어.,서로의 가치관이 평행선을 이루지만 않는다면 만날 수도 있을 거예요.,2,서로의 가치관이 평행선을 이루지만 않는다면 만날 수도 있을 거예요.
내 기준 괜찮은 사람 발견했는데 남친 있는지 물어봐도 돼?,얼른 물어보세요.,2,얼른 물어보세요.
내 남사친이랑 잘되고 싶어 그는 나를 여자로 봐줄까?,이성으로 어필해야죠.,2,이성으로 어필해야죠.
내 남자로 만들기,사랑은 소유하는 게 아니에요.,2,사랑은 소유하는 게 아니에요.
내 마음 들킨 거 같아,그래봤자 상대방이 더 좋아할 거예요.,2,그래봤자 상대방이 더 좋아할 거예요.
내 마음 알면서도 모른척하는거면 어떡해?,당신의 인연인 아닌가보다 생각하세요.,2,당신의 인연인 아닌가보다 생각하세요.
내 마음에 온통 너야,올인은 좋은게 아니에요.,2,올인은 좋은게 아니에요.
내 마음을 보여주는 게 어려워,상대가 부담스러워하지 않게 나를 사랑하고 상대를 사랑해주세요.,2,상대가 부담스러워하지 않게 나를 사랑하고 상대를 사랑해주세요.
내 맘대로 되지가 않아.,저도 제 마음대로 되면 더 바랄 게 없겠네요.,2,저도 제 마음대로 되면 더 바랄 게 없겠네요.
내 번호를 따간 사람이 내 친구가 좋아하는 애야.,운명의 장난같네요.,2,운명의 장난같네요.
내 사랑이 부족한걸까?,더 노력해보세요.,2,더 노력해보세요.
내 사랑이 있을까?,눈을 크게 뜨고 잘 찾아보세요.,2,눈을 크게 뜨고 잘 찾아보세요.
내 아이돌이랑 연애하보고 싶다,환상이 깨지면 많이 슬플 거예요.,2,환상이 깨지면 많이 슬플 거예요.
내 여자로 만들기,사랑은 소유하는 게 아니에요.,2,사랑은 소유하는 게 아니에요.
내 여자하자.,저라도 괜찮나요?,2,저라도 괜찮나요?
내 왜 좋아할까?,당신 존재 자체만으로 이유가 됩니다.,2,당신 존재 자체만으로 이유가 됩니다.
내 이상형도 아닌데 그 여자를 왜 좋아하는지 모르겠어.,이상형은 이상형일 뿐이니까요.,2,이상형은 이상형일 뿐이니까요.
내 이상형이 뭔지 모르겠어.,이상형이 꼭 있어야할 필요는 없어요.,2,이상형이 꼭 있어야할 필요는 없어요.
내 이상형이 아닌데 그 남자를 왜 이렇게 좋아할까.,이상형은 이상형일 뿐이니까요.,2,이상형은 이상형일 뿐이니까요.
내 존재를 알리고 싶어,우연을 가장해서 여러 번 마주쳐보세요.,2,우연을 가장해서 여러 번 마주쳐보세요.
내 첫사랑이 날 기억 못 해.,모든 기억은 같지 않으니 너무 실망하지 마세요.,2,모든 기억은 같지 않으니 너무 실망하지 마세요.
내 친구가 내 짝남 욕을 계속 해.,친구가 좋아하는지 모르고 있나 봅니다.,2,친구가 좋아하는지 모르고 있나 봅니다.
내 친구가 내 짝남 좋아하나?,그렇게 느껴진다면 사실일지도 모르겠네요.,2,그렇게 느껴진다면 사실일지도 모르겠네요.
내 친구들이 다 별로라고 하는 짝녀 나만 좋다면 연락하는게 맞는걸까?,다른 사람들이 별로라고 말하는 이유를 생각해보세요.,2,다른 사람들이 별로라고 말하는 이유를 생각해보세요.
내 친구랑 내 짝남이 서로 좋아하는 것 같아.,안타까운 상황이네요.,2,안타까운 상황이네요.
내 친구랑 내 짝녀가 서로 좋아하는 것 같은데 나 어떡함?,천천히 마음을 정리하는게 필요하겠어요.,2,천천히 마음을 정리하는게 필요하겠어요.
내가 그 사람을 좋아하는건지 아닌지 착각이 들어.,확신이 서지 않을 때가 있지요.,2,확신이 서지 않을 때가 있지요.
내가 그냥 아는 여자라네?,그런 남자 신경쓰지 마세요.,2,그런 남자 신경쓰지 마세요.
내가 그냥 학교 후배래,그런 사람 신경쓰지 마세요.,2,그런 사람 신경쓰지 마세요.
내가 그녀를 생각하는 만큼 그녀도 다른 사람을 생각하겠지.,그런 생각은 접어두는게 맘 편합니다.,2,그런 생각은 접어두는게 맘 편합니다.
내가 그를 생각하는 만큼 그도 나를 생각할까.,내가 어떻게 생각하는지가 중요해요.,2,내가 어떻게 생각하는지가 중요해요.
내가 그사람한테 필요했으면 좋겠어,사적 영역에 깊숙이 들어가보세요.,2,사적 영역에 깊숙이 들어가보세요.
내가 너무 기댄 거 같아,상대방도 똑같은 인간이라는 걸 잊지 마세요.,2,상대방도 똑같은 인간이라는 걸 잊지 마세요.
내가 너무 몰아붙였나봐,좀 더 차분하게 생각할 시간을 주세요.,2,좀 더 차분하게 생각할 시간을 주세요.
내가 너무 이기적이었어,상대방도 똑같은 인간이라는 걸 잊지 마세요.,2,상대방도 똑같은 인간이라는 걸 잊지 마세요.
내가 너무 진지한걸까.,부담되지 않는 선에서 진중한 태도도 좋네요.,2,부담되지 않는 선에서 진중한 태도도 좋네요.
내가 누굴 좋아하는지 헷갈리면 이상해?,확신이 없다면 헷갈릴 수 있지요.,2,확신이 없다면 헷갈릴 수 있지요.
내가 더 사랑할까?,누가 더 사랑하는지는 중요하지 않아요.,2,누가 더 사랑하는지는 중요하지 않아요.
내가 더 좋아하는 거 같은 느낌이야.,그래봤자 상대방이 더 좋아할 거예요.,2,그래봤자 상대방이 더 좋아할 거예요.
내가 더 좋아하는 관계,내가 더 좋아해도 덜 좋아해도 상관없어요.,2,내가 더 좋아해도 덜 좋아해도 상관없어요.
내가 무의식 중에 무시하는 듯한 말투를 썼어,상대방을 존중해주세요.,2,상대방을 존중해주세요.
내가 사랑하는 사람이 나를 사랑했으면,그 사람도 당신을 사랑하고 있을지도 몰라요.,2,그 사람도 당신을 사랑하고 있을지도 몰라요.
